Habitat,Station,Plot,Depth,WetWt_Bag,DryWt_Bag,BagWt,WetWt,DryWt,WaterContent,BulkDensity,TinWt,DryMass_Tin,AshMass_Tin,DryMass,AshMass,OM,PerOM
Bay,2,2B,3,20.24539,13.88491,1.81,18.43539,12.07491,6.36048,0.245924847,1.78,3.77,3.76778,1.99,1.98778,0.00222,0.111557789
Bay,2,2B,4,19.00997,10.78209,1.81,17.19997,8.97209,8.22788,0.182730957,1.78,3.76,3.57441,1.98,1.79441,0.18559,9.373232323
Bay,2,2C,1,28.49848,18.45844,1.81,26.68848,16.64844,10.04004,0.339072098,1.78,3.83,3.75278,2.05,1.97278,0.07722,3.766829268
Bay,2,2C,2,35.39021,21.96157,1.81,33.58021,20.15157,13.42864,0.410418941,1.78,3.82,3.43359,2.04,1.97278,0.06722,3.295098039
Bay,2,2C,3,31.15597,20.72405,1.81,29.34597,18.91405,10.43192,0.385214868,1.78,3.76,3.7076,1.98,1.9276,0.0524,2.646464646
Bay,2,2C,4,25.90106,16.6315,1.81,24.09106,14.8215,9.26956,0.301863544,1.78,3.77,3.61675,1.99,1.83675,0.15325,7.701005025
Bay,3,3A,1,11.79679,4.24443,1.81,9.98679,2.43443,7.55236,0.049581059,1.78,3.8,3.31976,2.02,1.53976,0.48024,23.77425743
Bay,3,3A,2,14.91551,5.57519,1.81,13.10551,3.76519,9.34032,0.076684114,1.78,3.8,3.36743,2.02,1.58743,0.43257,21.41435644
Bay,3,3A,3,23.27562,8.44772,1.81,21.46562,6.63772,14.8279,0.13518778,1.78,3.75,3.364,1.97,1.584,0.386,19.59390863
Bay,3,3A,4,21.73793,8.7635,1.81,19.92793,6.9535,12.97443,0.141619145,1.78,3.76,3.43631,1.98,1.65631,0.32369,16.3479798
Bay,3,3B,1,17.87114,9.74226,1.81,16.06114,7.93226,8.12888,0.161553157,1.78,3.79,3.62225,2.01,1.84225,0.16775,8.345771144
Bay,3,3B,2,26.48088,13.24872,1.81,24.67088,11.43872,13.23216,0.232967821,1.78,3.78,3.57852,2,1.79852,0.20148,10.074
Bay,3,3B,3,22.83437,9.59833,1.81,21.02437,7.78833,13.23604,0.158621792,1.78,3.73,3.44779,1.95,1.66779,0.28221,14.47230769
Bay,3,3B,4,18.4352,7.32287,1.81,16.6252,5.51287,11.11233,0.112278411,1.78,3.75,3.42075,1.97,1.64075,0.32925,16.71319797
Bay,3,3C,1,14.71228,7.72273,1.81,12.90228,5.91273,6.98955,0.1204222,1.78,3.84,3.65929,2.06,1.87929,0.18071,8.772330097
Bay,3,3C,2,17.48918,7.75613,1.81,15.67918,5.94613,9.73305,0.121102444,1.78,3.78,3.54568,2,1.76568,0.23432,11.716
Bay,3,3C,3,18.3603,8.29902,1.81,16.5503,6.48902,10.06128,0.132159267,1.78,3.79,3.58304,2.01,1.80304,0.20696,10.29651741
Bay,3,3C,4,22.88085,8.95579,1.81,21.07085,7.14579,13.92506,0.145535438,1.78,3.76,3.48645,1.98,1.70645,0.27355,13.81565657
